,Price,Carat-Size,Color_E,Color_F,Color_G,Color_H,Color_I,Color_J,Color_K,Clarity_SI1,Clarity_SI2,Clarity_VS1,Clarity_VS2,Clarity_VVS1,Clarity_VVS2,Cut_Good,Cut_Ideal,Cut_Very Good
0,1000,0.0062341732757966225,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1000,0.009143454137835048,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1000,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1000,0.013715181206752572,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,1000,0.009766871465414708,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
5,1000,0.008312231034395498,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1000,0.0074810079309559465,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1000,0.010805900344714145,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
8,1001,0.011013706120574037,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9,1001,0.008935648361975159,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,1001,0.008935648361975159,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11,1001,0.008935648361975159,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12,1001,0.0062341732757966225,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
13,1001,0.009766871465414708,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
14,1001,0.008520036810255384,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,1001,0.009143454137835048,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,1001,0.0074810079309559465,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,1001,0.008312231034395498,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18,1001,0.008312231034395498,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19,1002,0.006649784827516398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1002,0.01039028879299437,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
21,1002,0.01039028879299437,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
22,1002,0.0074810079309559465,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,1002,0.009143454137835048,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,1002,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,1017,0.009351259913694936,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,1017,0.01059809456885426,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
27,1017,0.0062341732757966225,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,1017,0.01059809456885426,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
29,1018,0.008520036810255384,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
30,1018,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,1018,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,1018,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33,1018,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,1018,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,1018,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,1018,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,1018,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
38,1018,0.008312231034395498,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
39,1018,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,1018,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,1019,0.008727842586115272,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
42,1019,0.006857590603376286,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
43,1019,0.007688813706815834,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
44,1019,0.009351259913694936,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
45,1019,0.008312231034395498,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
46,1019,0.008312231034395498,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
47,1019,0.006649784827516398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48,1019,0.006649784827516398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,1019,0.007688813706815834,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,1036,0.006857590603376286,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,1036,0.006857590603376286,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
52,1037,0.007688813706815834,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
53,1037,0.007688813706815834,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
54,1037,0.008935648361975159,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,1037,0.008935648361975159,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,1037,0.008935648361975159,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,1037,0.008935648361975159,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,1037,0.008935648361975159,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,1037,0.0070653963792361735,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,1037,0.007688813706815834,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,1037,0.007688813706815834,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,1037,0.01039028879299437,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
63,1037,0.006857590603376286,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,1037,0.011844929224013584,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
65,1037,0.008312231034395498,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
66,1037,0.008312231034395498,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
67,1037,0.008312231034395498,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
68,1037,0.008312231034395498,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
69,1037,0.009143454137835048,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,1037,0.00644197905165651,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,1037,0.00644197905165651,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,1037,0.00644197905165651,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,1037,0.008312231034395498,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
74,1037,0.008312231034395498,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75,1053,0.006649784827516398,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
76,1053,0.006649784827516398,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,1053,0.008312231034395498,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
78,1053,0.009974677241274595,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
79,1053,0.006857590603376286,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,1054,0.007896619482675723,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,1054,0.006649784827516398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1054,0.00644197905165651,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1054,0.011013706120574037,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
84,1054,0.008727842586115272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,1054,0.008727842586115272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
86,1054,0.0070653963792361735,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,1054,0.0074810079309559465,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,1054,0.01059809456885426,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
89,1054,0.0070653963792361735,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,1054,0.006857590603376286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
91,1055,0.006857590603376286,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,1055,0.008312231034395498,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
